Canal,Departamento,AFILIADOS,BUSCA PPC,COMPARADORES,Mês/Ano,CAT
3P,INFORMÁTICA E ACESSÓRIOS,-0.008111329600622517,-0.07036098260535842,-0.0027335927460453544,11/2021,-0.0812059049520263
3P,UTILIDADES DOMÉSTICAS,-0.006163026820877151,-0.05376243776920788,-0.0016444984297743807,11/2021,-0.06156996301985942
3P,AUTOMOTIVO,-0.005544208794572059,-0.07448168072464989,-0.0016608449169346372,11/2021,-0.08168673443615658
3P,CONSOLES & GAMES,-0.015757158196099293,-0.02964528196184287,-0.002739755237448808,11/2021,-0.04814219539539097
3P,ESPORTE & LAZER,-0.004617091582431467,-0.03209998955592121,-0.0013072396088169454,11/2021,-0.03802432074716962
3P,PC GAMER,-0.015056777600389445,-0.05442291102895245,-0.003155639686620936,11/2021,-0.07263532831596284
3P,BELEZA & PERFUMARIA,-0.006855708095097019,-0.027268792854778658,-0.0003569013890241348,11/2021,-0.03448140233889981
3P,MÓVEIS,-0.003177702042277827,-0.0292540130676036,-0.0006409964673617875,11/2021,-0.03307271157724321
3P,INSTRUMENTOS MUSICAIS,-0.003564932127538635,-0.04542325214952712,-0.0013826018363376146,11/2021,-0.050370786113403364
3P,MERCADO,-0.009851393748664429,-0.02434558820105309,-0.00037461435691454593,11/2021,-0.03457159630663206
3P,TELEFONIA,-0.0060831803496938916,-0.01685542929394098,-0.001368215075209336,12/2021,-0.02430682471884421
3P,ELETRODOMÉSTICOS,-0.008008717920236889,-0.037383079443531794,-0.004846064419872706,12/2021,-0.05023786178364138
3P,ELETRÔNICOS,-0.011283496971483948,-0.04934976261502417,-0.0038649032475042205,12/2021,-0.06449816283401233
3P,PCS,-0.007831650811372512,-0.02144620932394356,-0.0021237746417570335,12/2021,-0.031401634777073105
3P,CLIMATIZAÇÃO,-0.00508777273475314,-0.025560772116788952,-0.002113094945322171,12/2021,-0.032761639796864264
3P,ELETROPORTÁTEIS,-0.008006028113913051,-0.0577164969422377,-0.003383725338896307,12/2021,-0.06910625039504706
3P,INFORMÁTICA E ACESSÓRIOS,-0.010202140127289637,-0.06825646471805316,-0.0028673022382080886,12/2021,-0.08132590708355089
3P,UTILIDADES DOMÉSTICAS,-0.007915656573554747,-0.05784861152349829,-0.0015858785284207555,12/2021,-0.06735014662547378
3P,AUTOMOTIVO,-0.007087713824769716,-0.07047640629503521,-0.0020109713713093087,12/2021,-0.07957509149111423
3P,CONSOLES & GAMES,-0.022635496320208438,-0.03250910439480276,-0.004313426237154039,12/2021,-0.05945802695216523
3P,ESPORTE & LAZER,-0.004905413432586765,-0.03261296345640927,-0.0012285739789997152,12/2021,-0.038746950867995754
3P,PC GAMER,-0.016247414070214357,-0.05453492787471744,-0.00336316073028257,12/2021,-0.07414550267521437
3P,BELEZA & PERFUMARIA,-0.005989193827044051,-0.03152019707033249,-0.000462653226505485,12/2021,-0.037972044123882026
3P,MÓVEIS,-0.004088201520217351,-0.028407570761153692,-0.0005861291539845527,12/2021,-0.033081901435355596
3P,INSTRUMENTOS MUSICAIS,-0.0037648195699973206,-0.04627721737221168,-0.0013418907092558987,12/2021,-0.0513839276514649
3P,MERCADO,-0.0116524570804875,-0.0241895991475022,-0.00034605287735115604,12/2021,-0.03618810910534086
1P,TELEFONIA,-0.00996271837976742,-0.004054328014840008,-0.0008683168782714726,1/2022,-0.0148853632728789
1P,ELETRÔNICOS,-0.009118590927247826,-0.006324673077698281,-0.0026541819918835165,1/2022,-0.018097445996829623
1P,ELETRODOMÉSTICOS,-0.006181826454692243,-0.005494261308354816,-0.0015336386042390932,1/2022,-0.013209726367286151
1P,PCS,-0.005172993934212743,-0.002983547613506525,-0.0011324492884340037,1/2022,-0.00928899083615327
1P,ELETROPORTÁTEIS,-0.007337252252418934,-0.023998131434009876,-0.0012905839101277218,1/2022,-0.03262596759655653
1P,CONSOLES & GAMES,-0.04654354903288218,-0.007242211996265245,-0.00042633548217800246,1/2022,-0.05421209651132543
