Canal,Marca,Origem Tráfego,MDP,Parcelamento,Receita,Pedidos,Mês/Ano,Custo Parcelamento,Volume Venda
1P,ACOM,BUSCA PPC,PIX,A VISTA,43341.10416431147,905.419522041,5/2021,0.0,39241881.81718009
3P,SHOP,BUSCA PPC,AME,A VISTA,109791.3428812124,434.88778578,11/2021,0.0,47746914.00342323
3P,SHOP,BUSCA PPC,AME,A VISTA,60869.65510134963,396.324870186,5/2020,0.0,24124158.156308983
3P,B2B,TRAFEGO DIRETO,CARTAO,A VISTA,41899.99213880522,200.68700994600005,9/2021,0.0,8408784.139097726
3P,ACOM,COMPARADORES,PIX,A VISTA,16257.528856806484,105.73228857600002,4/2021,0.0,1718945.7326205107
3P,ACOM,TRAFEGO DIRETO,CARTAO,A VISTA,1299164.261309645,11057.83518024,4/2021,0.0,14365944273.620302
1P,ACOM,TRAFEGO DIRETO,AME,A VISTA,2386951.8276485256,74214.62375806802,7/2021,0.0,177146731817.56815
3P,SOUB,TRAFEGO DIRETO,AME,A VISTA,330.0236877056001,3.93134952,3/2022,0.0,1297.4384662500408
3P,ACOM,AFILIADOS,BOLETO,A VISTA,71241.03106678119,414.6645503520001,9/2021,0.0,29541130.11391969
3P,SHOP,AFILIADOS,CARTAO,A PRAZO,28796.159456179856,215.452587492,2/2020,143.98079728089928,6204207.064666174
3P,SHOP,TRAFEGO DIRETO,CARTAO,A VISTA,16821.117293298423,157.68631403400002,2/2020,0.0,2652459.9839138035
3P,SOUB,AFILIADOS,CARTAO,A PRAZO,204.1695842766,1.3262071080000002,10/2021,1.020847921383,270.771153905032
3P,B2B,TRAFEGO DIRETO,AME,A VISTA,533.60849400138,4.348533078000001,9/2020,0.0,2320.414186866766
