Departamento,Canal,Marca,Origem Tráfego,Visita,Mês/Ano
PCS,3P,SHOP,BUSCA ORGANICA,37325.081670996,11/2020
PCS,3P,SHOP,AFILIADOS,4426.037584235999,12/2021
PCS,1P,SOUB,BUSCA PPC,1704.063452112,11/2021
PCS,1P,SUBA,BUSCA ORGANICA,14788.399974402,7/2021
PCS,3P,ACOM,TRAFEGO DIRETO,224949.47222328,4/2022
PCS,3P,ACOM,COMPARADORES,169645.319380152,11/2020
PCS,3P,SOUB,TRAFEGO DIRETO,408.23814093600004,9/2020
PCS,3P,SHOP,TRAFEGO DIRETO,22468.122240803998,10/2020
PCS,3P,ACOM,BUSCA ORGANICA,138164.487860868,10/2020
PCS,3P,ACOM,AFILIADOS,192927.397285308,11/2020
PCS,1P,ACOM,BUSCA PPC,704569.392791316,8/2021
PCS,1P,SUBA,COMPARADORES,20942.300302322998,5/2021
PCS,1P,SHOP,BUSCA ORGANICA,9712.720223198998,1/2021
PCS,3P,ACOM,AFILIADOS,88710.22709013899,12/2021
PCS,3P,SOUB,BUSCA ORGANICA,326.61842024000003,3/2022
PCS,1P,SUBA,AFILIADOS,61091.927955408,11/2020
PCS,3P,SHOP,BUSCA PPC,89482.554795888,4/2020
PCS,3P,ACOM,AFILIADOS,85448.7328149,6/2020
PCS,3P,SHOP,BUSCA ORGANICA,10857.697324118997,1/2021
PCS,1P,SOUB,AFILIADOS,24.544513101,7/2020
PCS,1P,ACOM,BUSCA PPC,327763.791296661,7/2021
PCS,3P,ACOM,TRAFEGO DIRETO,380983.52423368796,7/2020
PCS,3P,ACOM,TRAFEGO DIRETO,299950.62059368,3/2022
PCS,1P,SOUB,AFILIADOS,3660.076148022,1/2022
PCS,1P,ACOM,COMPARADORES,35097.21155851799,2/2021
PCS,1P,ACOM,TRAFEGO DIRETO,263984.633521284,10/2021
PCS,3P,SOUB,AFILIADOS,219.41153232000002,3/2021
PCS,1P,ACOM,BUSCA PPC,581453.0451494369,5/2021
PCS,3P,SHOP,BUSCA ORGANICA,17889.358170663,7/2020
PCS,3P,ACOM,TRAFEGO DIRETO,290428.153070913,6/2021
PCS,1P,SUBA,AFILIADOS,48400.638853518,9/2020
PCS,3P,ACOM,BUSCA ORGANICA,202326.83846832,3/2021
PCS,3P,SUBA,BUSCA ORGANICA,56576.50769472,3/2021
PCS,1P,ACOM,BUSCA ORGANICA,77614.73723173201,9/2021
PCS,1P,ACOM,COMPARADORES,45278.79774333,12/2020
PCS,3P,SHOP,BUSCA ORGANICA,8454.720606178,1/2022
PCS,3P,ACOM,COMPARADORES,39920.46941176,3/2022
PCS,3P,SUBA,BUSCA PPC,139839.19485605697,12/2020
PCS,3P,SHOP,BUSCA ORGANICA,15553.483365305998,2/2021
PCS,1P,SOUB,COMPARADORES,31.864359563999994,10/2020
PCS,1P,B2B,TRAFEGO DIRETO,2836.1694310039998,1/2022
PCS,3P,ACOM,COMPARADORES,50474.14289208,4/2021
PCS,1P,SOUB,BUSCA PPC,1507.431010848,4/2022
PCS,1P,SHOP,COMPARADORES,5688.526722216,8/2021
PCS,1P,SOUB,BUSCA PPC,239.74156349399996,12/2020
PCS,1P,ACOM,BUSCA ORGANICA,97840.781271072,4/2022
PCS,3P,SUBA,AFILIADOS,134956.949374912,2/2022
PCS,1P,ACOM,BUSCA PPC,305015.394064416,4/2022
PCS,1P,SHOP,BUSCA PPC,106800.22350547499,5/2020
PCS,1P,SOUB,TRAFEGO DIRETO,6592.545070422,9/2020
PCS,3P,SHOP,BUSCA ORGANICA,19342.584671837998,12/2020
PCS,3P,SHOP,BUSCA ORGANICA,23566.260100733998,6/2020
PCS,1P,SUBA,TRAFEGO DIRETO,38222.23648406399,10/2020
PCS,1P,B2B,BUSCA PPC,990.21624366,11/2021
